School,Year (Fall),=4.00,>=3.75,>=3.50,>=3.25,>=3.00,>=2.50,>=2.00,>=1.00,>=0.00,Avg.,%StudentsReportedGPAs
UCLA,2024,56.31,92.43,97.66,99.31,99.91,100,100,100,100,3.93,100
UCLA,2023,59,93.4,97.9,99.3,99.7,99.9,100,100,100,3.93,100
UCLA,2022,59.1,93.1,98,99.6,99.9,100,100,100,100,3.93,98.6
UCLA,2021,55.4,91.8,97.5,99.2,99.8,100,100,100,100,3.92,99.9
UCLA,2020,47.3,89.5,96.7,98.8,99.6,99.9,100,100,100,3.9,98.7
UCLA,2019,47.7,88.9,96.1,98.8,99.7,100,100,100,100,3.9,
UCLA,2018,43.2,85.9,95.5,98.4,99.5,99.8,99.8,99.8,99.8,3.89,
UCLA,2017,38.5,82.9,94.8,98.3,99.6,100,100,100,100,3.87,
Indiana (Bloomington),2024,40.38,64.49,81.12,92.1,98.15,99.98,100,100,100,3.76,95.18
Indiana (Bloomington),2023,41.65,65.28,82.51,93.78,98.8,99.96,100,100,100,3.78,94.88
Indiana (Bloomington),2022,39.37,63.67,81.22,93.18,98.38,99.94,99.99,99.99,99.99,3.76,94.04
Indiana (Bloomington),2021,36.7,59.61,78.19,90.66,97.65,99.92,100,100,100,3.74,94.9
Indiana (Bloomington),2020,38.2,62.2,79.88,91.39,98.02,99.97,100,100,100,3.75,95.76
Indiana (Bloomington),2019,35.9,59.22,77.21,89.35,96.91,99.92,100,100,100,3.73,95.51
Indiana (Bloomington),2018,,58.18,76.07,88.91,97.08,99.88,99.98,99.99,99.99,3.72,97.04
Indiana (Bloomington),2017,,58.4,77,89.7,97.2,99.9,100,100,100,3.72,96.5
Indiana (Bloomington),2016,,54.02,73.11,87.92,96.87,99.91,100,100,100,3.69,97.69
Indiana (Bloomington),2015,,48.33,68.91,85.06,95.65,99.76,99.99,100,100,3.64,97.99
Indiana (Bloomington),2014,,44.53,66.94,84.01,95.7,99.8,99.99,99.99,99.99,3.63,97.02
Indiana (Bloomington),2013,,44.3,65.56,84.61,96.18,100,100,100,100,3.62,96.43
Indiana (Bloomington),2012,,41.62,64.68,82.51,95.31,99.78,99.97,99.97,99.97,3.6,97.08
Indiana (Bloomington),2011,,42.47,65.98,85.33,96.35,99.79,99.98,99.98,99.98,3.63,97.99
Indiana (Bloomington),2010,,42.6,65.3,84.3,95.5,99.5,99.5,99.5,99.5,3.61,97.9
Indiana (Bloomington),2009,,42,64,82,94,99,100,100,100,3.6,98
Indiana (Bloomington),2008,,37.42,61.96,82.66,94.63,99.61,99.96,99.97,99.98,3.58,95.5
Indiana (Bloomington),2007,,38.19,60.21,79.69,93.44,99.23,99.94,99.98,99.99,3.57,95.8
Indiana (Bloomington),2006,,33,53,73,89,99,100,100,100,3.5,93.32
University of Iowa,2023,33.11,63,80.5,93.51,98.31,99.95,99.99,99.99,100,3.83,98.83
University of Iowa,2022,33,60.87,78.62,91.63,97.84,99.99,100,100,100,3.82,98.9
University of Iowa,2021,33.24,61.05,79.76,91.07,97.46,99.94,99.98,100,100,3.81,98.96
University of Iowa,2020,31.03,58.08,76.29,89.26,96.16,99.71,99.98,100,100,3.78,98.63
University of Iowa,2019,27.13,54.75,74.45,88.64,96.17,99.91,99.99,99.99,99.99,3.76,97.51
University of Iowa,2018,,51.54,70.66,85.74,95.38,99.87,100,100,100,3.71,96
University of Iowa,2017,,49.37,68.42,83.73,93.86,99.56,99.99,99.99,99.99,3.69,96.38
University of Iowa,2016,,44.62,64.96,80.51,92.62,99.6,99.98,100,100,3.64,92.18
